parameter,cgiar.shp,cgiar.goat,cgiar.shp.b,cgiar.shp.c,cgiar.shp.d
NET_offtake_y,0.033,0,0.033,0.033,0.033
NET_offtake_m,0.49,-0.01,0.49,0.49,0.49
NET_offtake_f,0.02,-0.01,0.02,0.02,0.02
mortality_y,0.231,0.18,0.23,0.383,0.383
mortality_a,0.079,0.1,0.079,0.079,0.079
mortality_end,1,1,1,1,1
birth_rate,1.33,1.43,1.33,1.33,1.33
ppr_mortality_y,0,0,0,0,0
ppr_mortality_a,0,0,0,0,0
adu_f_max_yrs,6,6,6,6,6
adu_m_max_yrs,5,4,5,5,5
min_age_offtake,12,9.5,12,12,12
min_age_repro,17,17,17,17,17
NET_offtake_m2,0.49,0.51,0.49,0.49,0.9