parameter,cgiar.shp.min,cgiar.shp.max,cgiar.goat.min,cgiar.goat.max,RSA.min,RSA.max
NET_offtake_y,0,0.08,-0.08,0.04,0,0
NET_offtake_m,0.41,0.99,0.43,0.99,0,0.3
NET_offtake_m2,0.41,0.99,0.43,0.99,0.4,0.99
NET_offtake_f,-0.02,0.06,-0.05,0.03,0,0.3
mortality_y,0.18,0.28,0.14,0.22,0.15,0.55
mortality_a,0.05,0.16,0.05,0.16,0.05,0.33
mortality_end,1,1,1,1,1,1
birth_rate,1.0769,1.42977,1.16953,1.5506,1,2.5
ppr_mortality_y,0,0,0,0,0,0
ppr_mortality_a,0,0,0,0,0,0
adu_f_max_yrs,6,7,6,7,7,12
adu_m_max_yrs,5,6,5,6,3,5
min_age_offtake,10,12,10,12,9,14
min_age_repro,12,24,12,24,10,18