parameter,lesnoff.T,lesnoff.b,lesnoff.c,lesnoff.c2,lesnoff.d,lesnoff.e,lesnoff.f,lesnoff.g
NET_offtake_y,0.0029,0,0.0029,0.0029,0.0029,0,0,0
NET_offtake_m,0.0098,0.0321,0.0613,0.0613,0.0321,0.0241,0.0248,0.0234
NET_offtake_f,0.0098,0.0067,0.0095,0.0104,0.0067,0.00605,0.0056,0.0065
mortality_y,0.0094,0.004848,0.0094,0.0094,0.0094,0.002557,0.00378,0.00134
mortality_a,0.00315,0.004848,0.00307,0.31,0.00307,0.002557,0.00378,0.00134
mortality_end,1,1,1,1,1,1,1,1
birth_rate,0.036,0.036,0.036,0.036,0.036,0.036,0.038,0.034
ppr_mortality_y,0,0,0,0,0,0,0,0
ppr_mortality_a,0,0,0,0,0,0,0,0
adu_f_max_yrs,9,9,9,9,9,9,9,9
adu_m_max_yrs,4,4,4,4,4,4,4,4
min_age_offtake,6,6,6,6,6,6,6,6
min_age_repro,9,9,9,9,9,9,9,9
NET_offtake_m2,0.061,0.0321,0.0613,0.0613,0.0321,0.0241,0.0248,0.0234