parameter,lesnoff.ft.min,lesnoff.ft.max,lesnoff.yr.min,lesnoff.yr.max,RSA.min,RSA.max
NET_offtake_y,-0.0053,0.0213,-0.147328407,0.428667017,0,0
NET_offtake_m,-0.0053,0.0092,0.516976006,0.896379854,0,0.3
NET_offtake_m2,-0.0053,0.0092,0.516976006,0.896379854,0.4,0.99
NET_offtake_f,-0.0009,0.0213,-0.023665155,0.428667017,0,0.3
mortality_y,0.0052,0.0101,0.126766896,0.231976638,0.15,0.55
mortality_a,0.0011,0.0061,0.028210189,0.147076745,0.05,0.33
mortality_end,1,1,1,1,1,1
birth_rate,0.03114,0.0381372,0.80964,0.9915672,1,2.5
ppr_mortality_y,0,0,0,0,0,0
ppr_mortality_a,0,0,0,0,0,0
adu_f_max_yrs,7,12,7,12,7,12
adu_m_max_yrs,3,5,3,5,3,5
min_age_offtake,6,6,6,6,9,14
min_age_repro,9,9,9,9,10,18