parameter,cgiar.shp.min,cgiar.shp.max,cgiar.goat.min,cgiar.goat.max,lesnoff.T.min,lesnoff.T.max,oc.goat.aridP.min,oc.goat.aridP.max,oc.goat.semiaridP.min,oc.goat.semiaridP.max,oc.goat.semiaridM.min,oc.goat.semiaridM.max,oc.goat.subhumidM.min,oc.goat.subhumidM.max,oc.goat.humidM.min,oc.goat.humidM.max,oc.shp.aridP.min,oc.shp.aridP.max,oc.shp.semiaridP.min,oc.shp.semiaridP.max,oc.shp.semiaridM.min,oc.shp.semiaridM.max,oc.shp.subhumidM.min,oc.shp.subhumidM.max,oc.shp.humidM.min,oc.shp.humidM.max
NET_offtake_y,0.01,0.05,-0.06,-0.02,0.0029,0.0124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET_offtake_m,0.02,0.49,-0.01,0.51,0.0096,0.01,0.27,0.34,0.14,0.21,0.14,0.21,0.12,0.31,0.24,0.28,0.19,0.25,0.16,0.27,0.01,0.27,0.078,0.38,0.052,0.25
NET_offtake_f,0.01,0.02,-0.06,-0.01,0.0098,0.0124,0.27,0.34,0.14,0.21,0.14,0.21,0.12,0.31,0.24,0.28,0.19,0.25,0.16,0.27,0.01,0.27,0.078,0.38,0.052,0.25
mortality_y,0.22,0.24,0.16,0.2,0.0065,0.0096,0.27,0.29,0.33,0.34,0.28,0.3,0.22,0.28,0.17,0.25,0.29,0.29,0.3,0.33,0.25,0.27,0.25,0.26,0.17,0.25
mortality_a,0.06,0.13,0.07,0.13,0.0031,0.0032,0.13,0.16,0.12,0.12,0.1,0.1,0.14,0.14,0.14,0.14,0.12,0.12,0.14,0.16,0.07,0.08,0.096,0.11,0.15,0.16
mortality_end,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
birth_rate,1.26,1.4,1.34,1.52,0.03,0.0366,1.2993,1.3875,1.2188,1.3542,1.4157,1.59012,1.62,1.67394,2.0205,2.03072,0.988,1.0486,0.9776,0.988,1.296,1.3209,1.288,1.3108,1.2075,1.2753
ppr_mortality_y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppr_mortality_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adu_f_max_yrs,6,6,6,6,7,12,7,12,7,12,7,12,7,12,7,12,7,12,7,12,7,12,7,12,7,12
adu_m_max_yrs,5,5,4,4,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5,3,5
min_age_offtake,9,14,9,14,6,6,9,14,9,14,9,14,9,14,9,14,10,10,10,10,10,10,10,10,10,10
min_age_repro,12,24,12,24,9,9,15.9,15.9,16.4,16.4,15,17,15.3,15.5,13.5,14.8,18.5,18.5,17.9,18.8,15,16.9,15,16.2,17,18
NET_offtake_m2,0.47,0.51,0.49,0.53,0.059,0.063,0.27,0.34,0.14,0.21,0.14,0.21,0.12,0.31,0.24,0.28,0.19,0.25,0.16,0.27,0.01,0.27,0.078,0.38,0.052,0.25