parameter,cgiar.shp,cgiar.goat,lesnoff.T,oc.goat.aridP,oc.goat.semiaridP,oc.goat.semiaridM,oc.goat.subhumidM,oc.goat.humidM,oc.shp.aridP,oc.shp.semiaridP,oc.shp.semiaridM,oc.shp.subhumidM,oc.shp.humidM,oc.shp.humidM.valid
N_tot,75,75,75,75,75,75,75,75,75,75,75,75,75,75
kid_m_prop,0.08,0.095,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
kid_f_prop,0.1,0.105,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
sub_m_prop,0.08,0.095,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
sub_f_prop,0.1,0.105,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
adu_m_prop,0.17,0.17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
adu_f_prop,0.47,0.43,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
kid_max,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sub_max,12,12,12,12,12,12,12,12,12,12,12,12,12,12
f_prop,0.67,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65
m_prop,0.33,0.36,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35
pR,0,0,0,0,0,0,0,0,0,0,0,0,0,0